"","Site_A","Site_B","Before_Remediation","After_Remediation"
"1",10.8790487068956,12.5738262736062,15.2793926644304,14.4025012476338
"2",11.5396450210334,9.99570095645848,13.1147855510232,11.5176703863223
"3",15.1174166282982,5.06676568674072,16.6853769831351,15.1520323367583
"4",12.1410167828492,10.4027118031274,16.6344004625991,13.8544353442628
"5",12.2585754703219,8.05441718454413,16.4647432449125,14.5481123113843
"6",15.4301299737666,6.86435258802631,16.0659207623003,13.8126022483055
"7",12.9218324119784,8.56405017068341,15.6617529606128,13.6902997159615
"8",9.46987753078693,6.94799110338552,13.8142648682698,11.8571353255612
"9",10.6262942962129,7.54221754141772,13.0821120087802,9.71350972476579
"10",11.1086760598001,7.74992146430149,12.8585869969629,11.0843579826221
"11",14.4481635948789,5.62661337851517,11.9158790632385,8.39940845880892
"12",12.7196276541147,10.6755740889891,13.3762481659412,12.9250009701714
"13",12.8015429011881,9.30674623567303,10.2038109452952,7.61919719565914
"14",12.2213654318902,6.72372612597611,20.5068678960155,18.3830136521709
"15",10.8883177304919,11.5076298421399,17.623885994915,15.407944426171
